artist,track,Year,entrance_date,peak,wksoncharts,d_genre1,d_style1,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time_signature,valence,danceability,typicality
Bill Haley & His Comets,Lean Jean,1958,11/8/58,67,1,Rock,Rock & Roll,4,0.956276,0.325708,130.65,0.030649,0.851513,0.000519,1,4,0.961398,0.832416,0.909903605
Billy Vaughn & His Orchestra,La Paloma,1958,11/8/58,20,10,Jazz,Easy Listening,0,0.404879,0.13608,107.804,0.02935,0.776398,0.908266,1,4,0.660634,0.497501,0.753097882
Boots Brown,Cerveza,1958,11/8/58,23,8,Rock,Rock & Roll,8,0.664677,0.083465,81.576,0.04658,0.626037,0.900513,1,4,0.868803,0.611537,0.812714056
Champs,Chariot Rock,1958,11/8/58,59,7,Rock,Rock & Roll,5,0.481575,0.065897,84.123,0.051582,0.317246,0.802909,1,4,0.946998,0.673508,0.805782305
Champs,Midnighter,1958,11/8/58,94,1,Rock,Rock & Roll,10,0.902701,0.109587,181.234,0.111369,0.361854,0.909411,1,4,0.797985,0.571456,0.784211338
Drifters,Drip Drop,1958,11/8/58,58,2,Pop,Rock & Roll,10,0.428782,0.225131,118.655,0.049925,0.464534,0,1,4,0.881456,0.747958,0.851705058
Everly Brothers,Devoted To You,1958,11/8/58,10,14,Rock,Rock & Roll,4,0.106965,0.143533,90.763,0.028809,0.993161,0.145887,1,4,0.461264,0.515373,0.864454541
Faron Young,Alone With You,1958,11/8/58,51,5,"Folk, World, & Country",Country,7,0.876014,0.207748,113.825,0.035594,0.276276,0,1,4,0.850548,0.58562,0.847168453
Jimmie Rodgers,The Wizard,1958,11/8/58,45,7,Pop,Vocal,3,0.602088,0.377867,118.832,0.03173,0.638373,0,0,4,0.924822,0.702408,0.79496984
Jimmy Reed,Down In Virginia,1958,11/8/58,93,2,Blues,NA,7,0.722802,0.151405,108.897,0.033691,0.868275,0.030855,1,4,0.676086,0.679833,0.874674923
Little Anthony & the Imperials,Tears On My Pillow,1958,11/8/58,4,19,Rock,NA,0,0.26145,0.111325,103.323,0.027321,0.903964,3.70E-05,1,3,0.484725,0.382953,0.864883456
Little Willie John,You're A Sweetheart,1958,11/8/58,66,4,Rock,Rock & Roll,5,0.395807,0.361966,107.93,0.136615,0.80083,0.652427,0,3,0.188516,0.456181,0.674862122
"Nat ""King"" Cole",Nothing In The World,1958,11/8/58,99,1,Jazz,Easy Listening,5,0.26962,0.172243,78.674,0.041176,0.743281,0.000346,1,4,0.283481,0.559974,0.819509596
Robin Luke,Susie Darlin',1958,11/8/58,5,17,Rock,Rock & Roll,9,0.335469,0.10264,120.514,0.03433,0.860011,0.007102,1,4,0.633439,0.678546,0.882716098
Tennessee Ernie Ford,Sunday Barbecue,1958,11/8/58,97,1,Rock,Rockabilly,3,0.581568,0.232752,159.839,0.068907,0.875559,2.00E-06,1,4,0.700952,0.549033,0.915165247
Betty Madigan,Dance Everyone Dance,1958,18/8/58,31,9,Pop,Space-Age,5,0.549733,0.209426,129.865,0.037721,0.122041,0,1,4,0.939509,0.760219,0.847077339
Bobby Helms,Borrowed Dreams,1958,18/8/58,60,2,Pop,Vocal,1,0.153634,0.089474,76.362,0.031621,0.917775,0,1,4,0.387059,0.304568,0.827950373
Chuck Willis,My Life,1958,18/8/58,46,5,Funk / Soul,Rhythm & Blues,8,0.23027,0.379845,199.791,0.046018,0.965495,0,1,3,0.652961,0.405241,0.862431065
Count Basie,Going To Chicago Blues,1958,18/8/58,100,1,Jazz,Big Band,8,0.097612,0.318776,76.658,0.127205,0.885135,0,0,4,0.388104,0.514629,0.71121825
DeJohn Sisters,Straighten Up & Fly Right,1958,18/8/58,73,2,Pop,Novelty,5,0.538862,0.192171,77.109,0.329659,0.887495,0.111998,0,4,0.81307,0.669882,0.788145301
