artist,track,Year,energy,liveness,tempo,speechiness,acousticness,instrumentalness,valence,danceability,mean_energy,mean_liveness,mean_tempo,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_valence,mean_danceability,raw_tempo,spotify_id
Tommy Edwards,It’s All In the Game,1958,0.269397,0.209688,0.353027027027,0.029153,0.360193,0.0,0.643484,0.333731,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,104.248,01OFUZ8btJxFI6n5igQUqx
Conway Twitty,It's Only Make Believe,1958,0.268559,0.111408,0.220959459459,0.032924,0.963547,0.002049,0.321706,0.451777,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,84.702,4qyV2fTVF9mCzgrekHny1v
Teddy Bears,"To Know Him, Is To Love Him",1958,0.217606,0.155084,0.830912162162,0.030544,0.927009,3.1e-05,0.284399,0.281726,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,174.975,12UGU3ev7jEYzTG8r25H8J
Kingston Trio,Tom Dooley,1958,0.259362,0.630854,0.311425675676,0.070079,0.899686,5.4e-05,0.378037,0.580259,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,98.091,2qLxtO0iaFGI9x19vU3bDI
Platters,Smoke Gets In Your Eyes,1959,0.26922,0.129334,0.423432432432,0.031002,0.954574,0.004874,0.163772,0.306625,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,114.668,1s9tooJJ0gNHzzv9V52tln
David Seville,The Chipmunk Song,1958,0.492713,0.199196,0.675831081081,0.031914,0.643288,3e-06,0.789229,0.601854,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,152.023,57yz5oqMytzbwdewSG28L9
Lloyd Price,Stagger Lee,1959,0.457146,0.393946,0.471810810811,0.057656,0.518978,0.0,0.913169,0.674432,0.491002415789,0.225825805263,0.430268172119,0.0604533210526,0.697272157895,0.106668936842,0.673643368421,0.527676052632,121.828,4MUGG9mgDUP8dlaS3AAeg0
Frankie Avalon,Venus,1959,0.492295,0.099141,0.42375,0.031276,0.906682,0.154278,0.772745,0.561344,0.483114625874,0.229736786713,0.4445750567,0.0660298986014,0.69137229021,0.11835477972,0.673092265734,0.520049192308,114.715,4GwLN4wFrV5FMTVVzcFYst
Fleetwoods,Come Softly To Me,1959,0.206793,0.129477,0.527763513514,0.032791,0.861628,0.009113,0.742109,0.581951,0.480373484177,0.232094844937,0.446037226309,0.0675534841772,0.684983484177,0.115857955696,0.674379655063,0.520442148734,130.109,603N4XGJUTbK760GLCvIIs
"Dave ""Baby"" Cortez",The Happy Organ,1959,0.516551,0.679204,0.277459459459,0.063846,0.365929,0.950109,0.750617,0.575759,0.483475693009,0.232035656535,0.449107902736,0.0667724224924,0.689318671733,0.113182966565,0.672983382979,0.517704924012,93.064,1Lcbch9sSQFYgQFz1LSoC0
Wilbert Harrison,Kansas City,1959,0.862624,0.188927,0.448567567568,0.044896,0.577892,0.0,0.868692,0.554968,0.485604334225,0.233980371658,0.446519637953,0.0677159438503,0.689423826203,0.122192991979,0.673205483957,0.518085042781,118.388,4GvyP7CnBJEV2t7L7vOkjw
Johnny Horton,The Battle Of New Orleans,1959,0.833575,0.09488,0.855858108108,0.062823,0.370087,0.0,0.915737,0.612821,0.485375660848,0.234617301746,0.445049521467,0.0669094638404,0.693777446384,0.122136371571,0.673355122195,0.522170331671,178.667,1XRA4Tjb2YrcQU5ThDllCw
Paul Anka,Lonely Boy,1959,0.527136,0.223037,0.994533783784,0.046965,0.655768,0.0,0.650254,0.398069,0.485147676149,0.228859277899,0.441604737122,0.06604595186,0.689874870897,0.120228118162,0.6730282407,0.523345083151,199.191,4kh2S9hRpPvoF9JkwZcYGN
Browns,The Three Bells,1959,0.267229,0.107626,0.507128378378,0.041784,0.890181,0.113493,0.713489,0.717516,0.481498882136,0.224152491713,0.441581267732,0.0648457495396,0.697572725599,0.122618119705,0.672434401473,0.522598839779,127.055,1voKhn2sLjn3F7NgVIOB4u
Santo & Johnny,Sleep Walk,1959,0.811756,0.044727,0.546574324324,0.048118,0.519153,0.798505,0.952621,0.755423,0.481498882136,0.224152491713,0.441581267732,0.0648457495396,0.697572725599,0.122618119705,0.672434401473,0.522598839779,132.893,0yK8sWD6cfrc7pGfaPIcZH
Bobby Darin,Mack the Knife,1959,0.689401,0.76794,0.306925675676,0.316229,0.855892,3e-06,0.600972,0.591699,0.485440745455,0.229548465455,0.441974889435,0.0655657418182,0.69773442,0.119295923636,0.677036941818,0.522201405455,97.425,0YTgZJfVLmJ0b8XAMZKRKg
Fleetwoods,Mr. Blue,1959,0.192967,0.120012,0.307472972973,0.030759,0.913923,1e-06,0.21601,0.442849,0.481904559415,0.226535906764,0.442915880231,0.0662695941499,0.69816161426,0.120290608775,0.679134473492,0.52321552468,97.506,6bnFjTW3EnMG4BwreDnSHK
Guy Mitchell,Heartaches By the Number,1959,0.760064,0.128028,0.202527027027,0.049596,0.812887,0.0,0.96003,0.568791,0.485322455046,0.233406759633,0.443500508306,0.0680799706422,0.698938121101,0.128193440367,0.675794998165,0.523530924771,81.974,1Ks4guQOte9Ds2ip9M8xSk
Johnny Preston,Running Bear,1960,0.494281,0.12177,0.470702702703,0.038339,0.940638,6e-06,0.899834,0.676355,0.483642092081,0.231986686924,0.439164202877,0.0679797495396,0.700731685083,0.134181850829,0.671058362799,0.521807565378,121.664,0CRxGsJrwOMQUuTr4yT5mX
Marty Robbins,El Paso,1960,0.738876,0.21203,0.364736486486,0.028424,0.77407,2.3e-05,0.836092,0.59507,0.483411338739,0.229664216216,0.442411614317,0.0678008972973,0.700485378378,0.135326041441,0.672028466667,0.523002246847,105.981,1RYznli2VNO7FCbW1Hq4KM
Frankie Avalon,Why,1959,0.296747,0.08556,0.322236486486,0.031452,0.470006,0.0,0.317438,0.612964,0.483406030797,0.227380990942,0.43998802879,0.0669704710145,0.705185532609,0.135825764493,0.670209384058,0.521102496377,99.691,4f8hBeMXMvssn6HtFAtblo
Mark Dinning,Teen Angel,1960,0.224047,0.191925,0.320878378378,0.038332,0.723021,0.0,0.350309,0.545988,0.482206581353,0.22631274223,0.440624289738,0.0654064899452,0.70270708958,0.131846563071,0.668212850091,0.520289464351,99.49,36NPEs4S7ik50NrlzaqoIJ
Percy Faith,"The Theme From ""A Summer Place""",1960,0.380848,0.206068,0.845804054054,0.046225,0.994575,0.934098,0.41807,0.199428,0.480718604779,0.226185189338,0.438539348172,0.0636760183824,0.708334740809,0.128089492647,0.669536935662,0.523995803309,177.179,2kKL5kk4On8YRSKWDgXWMX
Elvis Presley,Stuck On You,1960,0.742415,0.393523,0.537391891892,0.113594,0.912263,0.001823,0.591705,0.561408,0.472030952899,0.222008469203,0.438346614277,0.0598229945652,0.720758728261,0.124038007246,0.662275387681,0.52408442029,131.534,39zODpVtRvghMyfNjZ3BVK
Everly Brothers,Cathy's Clown,1960,0.318949,0.158377,0.459202702703,0.042986,0.49774,0.0,0.785368,0.508082,0.470842798913,0.222983027174,0.438777479926,0.0591910634058,0.720345572464,0.121808224638,0.661489608696,0.521014036232,119.962,1MA9StLzlFftLbuqOmoWij
Connie Francis,Everybody's Somebody's Fool,1960,0.511844,0.168624,0.792060810811,0.040393,0.734343,1e-06,0.745548,0.361332,0.468731415301,0.225427238616,0.437050706444,0.0595168360656,0.719564480874,0.120458965392,0.656212774135,0.518716958106,169.225,3o3tJQNE3og07wS93sZrOP
Brenda Lee,I'm Sorry,1960,0.510514,0.707055,0.143175675676,0.041954,0.797601,0.05126,0.323767,0.397057,0.470234269439,0.223873406872,0.438388299692,0.0593393743219,0.723074761302,0.11647359132,0.659030162749,0.518218886076,73.19,3Wkx5w26BqVASMkeGFTsEt
Hollywood Argyles,Alley-Oop,1960,0.418433,0.077196,0.0769459459459,0.799517,0.751403,0.0,0.689618,0.67878,0.470234269439,0.223873406872,0.438388299692,0.0593393743219,0.723074761302,0.11647359132,0.659030162749,0.518218886076,63.388,3VIICyg0nnfrY4PKef2GkW
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,0.418771,0.048613,0.485398648649,0.149046,0.714366,0.0,0.961338,0.803556,0.46831136413,0.228957143116,0.437971993733,0.0595901413043,0.722909492754,0.107551391304,0.66020288587,0.520811681159,123.839,6oppifdKz1PowII0XMwiEe
Elvis Presley,It's Now Or Never,1960,0.207998,0.743964,0.538486486486,0.066725,0.831793,0.117593,0.735085,0.581103,0.466622575868,0.231142925046,0.438813454222,0.0597081078611,0.721067285192,0.10754061426,0.656902402194,0.518097062157,131.696,72r64zuD868n6mQhC8Tp56
