artist,track,Year,entrance_date,peak,wksoncharts,d_genre1,d_style1,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time_signature,valence,danceability,typicality,raw_tempo,datestr,mean_energy,mean_liveness,mean_tempo,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_valence,mean_danceability,mean_mode
Tommy Edwards,It's All In The Game,1958,1958-08-18,1,22,Rock,Blues Rock,3,0.269397,0.209688,0.429870933157,0.029153,0.360193,0.0,1,3,0.643484,0.333731,0.873114076,104.248,18/8/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Conway Twitty,It's Only Make Believe,1958,1958-09-15,1,21,Funk / Soul,Rock & Roll,11,0.268559,0.111408,0.349272194961,0.032924,0.963547,0.002049,1,4,0.321706,0.451777,0.833116565,84.702,15/9/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Teddy Bears,"To Know Him, Is To Love Him",1958,1958-09-22,1,23,Rock,Rock & Roll,2,0.217606,0.155084,0.721516638489,0.030544,0.927009,3.1e-05,1,3,0.284399,0.281726,0.842012585,174.975,22/9/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Kingston Trio,Tom Dooley,1958,1958-09-29,1,21,Rock,Folk Rock,9,0.259362,0.630854,0.40448228939,0.070079,0.899686,5.4e-05,1,4,0.378037,0.580259,0.858698339,98.091,29/9/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Platters,Smoke Gets In Your Eyes,1959,1958-11-17,1,19,Funk / Soul,Rhythm & Blues,11,0.26922,0.129334,0.472838233475,0.031002,0.954574,0.004874,1,4,0.163772,0.306625,0.812731448,114.668,17/11/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
David Seville,The Chipmunk Song,1958,1958-01-12,1,13,Children's,Novelty,3,0.492713,0.199196,0.626873118634,0.031914,0.643288,3e-06,1,3,0.789229,0.601854,0.835867597,152.023,1/12/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Lloyd Price,Stagger Lee,1959,1958-08-12,1,21,Rock,Rock & Roll,3,0.457146,0.393946,0.502362789163,0.057656,0.518978,0.0,1,4,0.913169,0.674432,0.89819817,121.828,8/12/58,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Frankie Avalon,Venus,1959,1959-09-02,1,17,Pop,Vocal,10,0.492295,0.099141,0.473032039916,0.031276,0.906682,0.154278,1,4,0.772745,0.561344,0.891813715,114.715,9/2/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Fleetwoods,Come Softly To Me,1959,1959-09-03,1,16,Pop,Vocal,2,0.206793,0.129477,0.536509834646,0.032791,0.861628,0.009113,1,4,0.742109,0.581951,0.887070298,130.109,9/3/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
"Dave ""Baby"" Cortez",The Happy Organ,1959,1959-03-16,1,17,Rock,Rock & Roll,0,0.516551,0.679204,0.383753247289,0.063846,0.365929,0.950109,1,4,0.750617,0.575759,0.765733644,93.064,16/3/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Wilbert Harrison,Kansas City,1959,1959-04-13,1,16,Rock,Rock & Roll,1,0.862624,0.188927,0.488177807101,0.044896,0.577892,0.0,1,4,0.868692,0.554968,0.877061927,118.388,13/4/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Johnny Horton,The Battle Of New Orleans,1959,1959-04-27,1,21,"Folk, World, & Country",Country,9,0.833575,0.09488,0.736740752959,0.062823,0.370087,0.0,1,4,0.915737,0.612821,0.868825416,178.667,27/4/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Paul Anka,Lonely Boy,1959,1959-01-06,1,15,Pop,Pop Rock,0,0.527136,0.223037,0.821372314544,0.046965,0.655768,0.0,1,3,0.650254,0.398069,0.862318674,199.191,1/6/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Browns,The Three Bells,1959,1959-07-27,1,17,Pop,Country,4,0.267229,0.107626,0.523916539524,0.041784,0.890181,0.113493,1,4,0.713489,0.717516,0.898479216,127.055,27/7/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Santo & Johnny,Sleep Walk,1959,1959-07-27,1,18,Jazz,Easy Listening,2,0.811756,0.044727,0.547989773618,0.048118,0.519153,0.798505,1,4,0.952621,0.755423,0.830564524,132.893,27/7/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Bobby Darin,Mack The Knife,1959,1959-08-24,1,26,Rock,Rock & Roll,8,0.689401,0.76794,0.401736010886,0.316229,0.855892,3e-06,1,4,0.600972,0.591699,0.87058687,97.425,24/8/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Fleetwoods,Mr. Blue,1959,1959-07-09,1,20,Pop,Vocal,4,0.192967,0.120012,0.402070017731,0.030759,0.913923,1e-06,1,4,0.21601,0.442849,0.851953384,97.506,7/9/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Guy Mitchell,Heartaches By The Number,1959,1959-05-10,1,20,Rock,Pop Rock,7,0.760064,0.128028,0.338023174302,0.049596,0.812887,0.0,1,4,0.96003,0.568791,0.89551883,81.974,5/10/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Johnny Preston,Running Bear,1960,1959-12-10,1,27,Rock,Rock & Roll,10,0.494281,0.12177,0.501686528391,0.038339,0.940638,6e-06,1,4,0.899834,0.676355,0.892130519,121.664,12/10/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Marty Robbins,El Paso,1960,1959-09-11,1,22,"Folk, World, & Country",Country,2,0.738876,0.21203,0.437017030226,0.028424,0.77407,2.3e-05,1,3,0.836092,0.59507,0.884807049,105.981,9/11/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Frankie Avalon,Why,1959,1959-11-23,1,16,Pop,Vocal,9,0.296747,0.08556,0.411079955466,0.031452,0.470006,0.0,0,4,0.317438,0.612964,0.720362775,99.691,23/11/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Mark Dinning,Teen Angel,1960,1959-12-21,1,18,Pop,Vocal,0,0.224047,0.191925,0.410251123665,0.038332,0.723021,0.0,1,4,0.350309,0.545988,0.846518087,99.49,21/12/59,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Percy Faith,"The Theme From ""A Summer Place""",1960,1960-11-01,1,21,Pop,Theme,0,0.380848,0.206068,0.730604923508,0.046225,0.994575,0.934098,0,5,0.41807,0.199428,0.636104244,177.179,11/1/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Elvis Presley,Stuck On You,1960,1960-04-04,1,16,Rock,Rock & Roll,7,0.742415,0.393523,0.542385880995,0.113594,0.912263,0.001823,1,4,0.591705,0.561408,0.898362377,131.534,4/4/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Everly Brothers,Cathy's Clown,1960,1960-04-18,1,17,Rock,Rock & Roll,7,0.318949,0.158377,0.494668261103,0.042986,0.49774,0.0,1,4,0.785368,0.508082,0.887210292,119.962,18/4/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Connie Francis,Everybody's Somebody's Fool,1960,1960-09-05,1,18,Rock,Rock & Roll,6,0.511844,0.168624,0.69780627603,0.040393,0.734343,1e-06,1,4,0.745548,0.361332,0.899093109,169.225,9/5/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Brenda Lee,I'm Sorry,1960,1960-05-30,1,23,Rock,Pop Rock,7,0.510514,0.707055,0.301801987547,0.041954,0.797601,0.05126,1,4,0.323767,0.397057,0.849984568,73.19,30/5/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Hollywood Argyles,Alley-Oop,1960,1960-05-30,1,15,Rock,Pop Rock,2,0.418433,0.077196,0.261383035751,0.799517,0.751403,0.0,1,4,0.689618,0.67878,0.813817701,63.388,30/5/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,1960-04-07,1,15,Rock,Pop Rock,3,0.418771,0.048613,0.510655230712,0.149046,0.714366,0.0,1,4,0.961338,0.803556,0.881317401,123.839,4/7/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Elvis Presley,It's Now Or Never,1960,1960-07-18,1,20,Pop,Rock & Roll,4,0.207998,0.743964,0.543053894685,0.066725,0.831793,0.117593,1,4,0.735085,0.581103,0.869139421,131.696,18/7/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Chubby Checker,The Twist,1960,1960-01-08,1,18,Rock,Rock & Roll,4,0.791588,0.100962,0.639016947755,0.033282,0.010866,0.005648,1,4,0.964685,0.533989,0.807003064,154.968,1/8/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Connie Francis,My Heart Has A Mind Of Its Own,1960,1960-08-15,1,17,Rock,Soundtrack,6,0.439108,0.374341,0.452579275081,0.033148,0.641176,7e-06,1,4,0.743665,0.384368,0.900453258,109.755,15/8/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Larry Verne,Mr. Custer,1960,1960-08-29,1,13,Rock,Folk Rock,4,0.365739,0.156077,0.445334213022,0.067973,0.572074,1e-06,0,4,0.467736,0.706568,0.780315261,107.998,29/8/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Drifters,Save The Last Dance For Me,1960,1960-05-09,1,18,Funk / Soul,Soul,4,0.660426,0.279604,0.298078429755,0.040927,0.724227,2e-06,1,4,0.737331,0.515684,0.89692392,72.287,5/9/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Brenda Lee,I Want To Be Wanted (Per Tutta La Vita),1960,1960-12-09,1,15,Rock,Pop Rock,8,0.332859,0.576676,0.45241433343,0.030416,0.78636,1e-06,1,3,0.56911,0.454618,0.878591833,109.715,12/9/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Ray Charles,Georgia On My Mind,1960,1960-09-26,1,13,Funk / Soul,Vocal,7,0.532074,0.294899,0.421364067461,0.032562,0.832207,1e-06,1,3,0.33752,0.25064,0.871632731,102.185,26/9/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Maurice Williams & The Zodiacs,Stay,1960,1960-03-10,1,18,Pop,Vocal,7,0.498042,0.240468,0.493237392272,0.045877,0.871564,0.0,0,4,0.821387,0.54289,0.795204602,119.615,3/10/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Bert Kaempfert & His Orchestra,Wonderland By Night,1961,1960-11-14,1,17,Blues,Easy Listening,3,0.187443,0.275916,0.296169230135,0.031913,0.980917,0.900924,1,4,0.105785,0.163686,0.722066141,71.824,14/11/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Elvis Presley,Are You Lonesome To-Night?,1960,1960-11-14,1,16,Pop,Rock & Roll,0,0.383296,0.965486,0.548175332976,0.343461,0.848108,0.003459,1,5,0.499638,0.391248,0.799003315,132.938,14/11/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Shirelles,Will You Love Me Tomorrow?,1961,1960-11-21,1,19,Funk / Soul,Soul,0,0.238211,0.232352,0.564488062348,0.029206,0.417132,1.3e-05,1,4,0.514676,0.506111,0.843596235,136.894,21/11/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Lawrence Welk,Calcutta,1961,1960-12-12,1,17,Pop,,7,0.664795,0.338031,0.342983794483,0.025999,0.736106,0.949198,1,4,0.949728,0.447697,0.829434442,83.177,12/12/60,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Chubby Checker,Pony Time,1961,1961-01-23,1,16,Rock,Rock & Roll,11,0.936476,0.844052,0.732052286504,0.161885,0.11277,5e-06,0,4,0.692138,0.308365,0.650760584,177.53,23/1/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Elvis Presley,Surrender,1961,1961-02-20,1,12,Rock,Rock & Roll,3,0.613495,0.329342,0.333219248691,0.054969,0.859339,2e-06,0,4,0.682788,0.372652,0.779295279,80.809,20/2/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Del Shannon,Runaway,1961,1961-06-03,1,17,Rock,Rock & Roll,8,0.497323,0.098984,0.312597418663,0.035202,0.295031,0.0,1,4,0.817444,0.526654,0.859930032,75.808,6/3/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Marcels,Blue Moon,1961,1961-06-03,1,14,Rock,Doo Wop,4,0.396548,0.287898,0.526617459074,0.047951,0.487344,0.0,0,4,0.994769,0.798441,0.764534485,127.71,6/3/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Ernie K-Doe,Mother-In-Law,1961,1961-03-27,1,14,Funk / Soul,Rock & Roll,0,0.610894,0.152359,0.535499567028,0.028299,0.190192,0.016532,0,4,0.804138,0.735394,0.694105589,129.864,27/3/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Roy Orbison,Running Scared,1961,1961-10-04,1,17,Pop,Vocal,9,0.501426,0.714176,0.350876252526,0.069286,0.760546,0.0,1,4,0.372293,0.349484,0.846051446,85.091,10/4/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Bobby Lewis,Tossin' And Turnin',1961,1961-04-24,1,23,Funk / Soul,Vocal,0,0.823992,0.2452,0.584697538246,0.063348,0.785791,0.0,1,4,0.961996,0.625147,0.868270733,141.795,24/4/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
